Valor nulo: -9999.9		
Fecha (GMT)	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2010 01 21 21	14.1	2
2010 01 21 22	14.1	2
2010 01 21 23	14.1	2
2010 01 22 00	14.1	2
2010 01 22 01	14.1	2
2010 01 22 02	14.1	2
2010 01 22 03	14.1	2
2010 01 22 04	14.2	2
2010 01 22 05	14.2	2
2010 01 22 06	14.2	2
2010 01 22 07	14.2	2
2010 01 22 08	14.2	2
2010 01 22 09	14.2	2
2010 01 22 10	14.2	2
2010 01 22 11	14.2	2
2010 01 22 12	14.2	2
2010 01 22 13	14.2	2
2010 01 22 14	14.2	2
2010 01 22 15	14.2	2
2010 01 22 16	14.2	2
2010 01 22 17	14.1	2
2010 01 22 18	14.1	2
2010 01 22 19	14.1	2
2010 01 22 20	14.1	2
2010 01 22 21	14.1	2
2010 01 22 22	14.3	2
2010 01 22 23	14.3	2
2010 01 23 00	14.3	2
2010 01 23 01	14.3	2
2010 01 23 02	14.3	2
2010 01 23 03	14.3	2
2010 01 23 04	14.3	2
2010 01 23 05	14.3	2
2010 01 23 06	14.3	2
2010 01 23 07	14.3	2
2010 01 23 08	14.3	2
2010 01 23 09	14.3	2
2010 01 23 10	14.2	2
2010 01 23 11	14.2	2
2010 01 23 12	14.2	2
2010 01 23 13	14.2	2
2010 01 23 14	14.2	2
2010 01 23 15	14.2	2
2010 01 23 16	14.2	2
2010 01 23 17	14.2	2
2010 01 23 18	14.3	2
2010 01 23 19	14.2	2
2010 01 23 20	14.0	2
2010 01 23 21	13.7	2
2010 01 23 22	13.7	2
2010 01 23 23	13.7	2
2010 01 24 00	13.7	2
2010 01 24 01	13.8	2
2010 01 24 02	13.9	2
2010 01 24 03	13.8	2
2010 01 24 04	13.8	2
2010 01 24 05	13.7	2
2010 01 24 06	13.7	2
2010 01 24 07	13.7	2
2010 01 24 08	13.6	2
2010 01 24 09	13.5	2
2010 01 24 10	13.4	2
2010 01 24 11	13.4	2
2010 01 24 12	13.4	2
2010 01 24 13	14.0	2
2010 01 24 14	13.4	2
2010 01 24 15	13.5	2
2010 01 24 16	13.6	2
2010 01 24 17	13.5	2
2010 01 24 18	13.4	2
2010 01 24 19	13.4	2
2010 01 24 20	13.4	2
2010 01 24 21	13.3	2
2010 01 24 22	13.3	2
2010 01 24 23	13.3	2
2010 01 25 00	13.3	2
2010 01 25 01	13.4	2
2010 01 25 02	13.4	2
2010 01 25 03	13.4	2
2010 01 25 04	13.5	2
2010 01 25 05	13.4	2
2010 01 25 06	13.3	2
2010 01 25 07	13.3	2
2010 01 25 08	13.2	2
